"","ADH1C","TNC","MYH11","KPNA2","C1QC","GNAO1","CBR1","PCNA","SHMT2","MRTO4","IDH1"
"PDAC_46T",-0.84795963800232,-0.621011891258638,-0.290461525522522,-0.420974132091136,-0.899863111591667,-0.30479339158975,-0.74257106336362,-0.995281800650016,-0.839406177970757,-0.208165868659877,-1.22056913442801
"PDAC_47T",-0.53403460475465,0.231630936103865,-0.354036692612632,-0.512259543444752,-0.912623251881411,1.33399986152763,-0.999140785181515,-0.936864777776192,-1.0529759970453,-0.282349790712292,-1.55842133361814
"PDAC_48T",0.492106757858013,0.853787727586678,2.65264622844975,-0.488968615445064,-0.46818201770255,0.140334883479161,0.811309977385071,-0.0806404083591789,-0.43394175490324,-0.282349790712292,-0.00427558688213407
"PDAC_49T",0.165394554213289,-0.478227033176693,-0.0385449737633675,-0.281979884351062,-0.201827958871854,0.122821851750986,1.22903074172226,-0.842535650676657,1.32613521265862,-0.172752276910874,1.94406665677212
"PDAC_50T",-0.40674413580216,0.00791566295944083,-0.310223288169445,0.730424163377314,1.70675615524887,-0.221751894280872,-0.515534342678313,0.494112868604315,0.891287259847566,-0.13717084823415,-0.340817784709864
"PDAC_51T",0.575543044698789,-0.515905699981649,-0.105728843831023,0.0279397220963999,0.291046329537208,-0.504222232597686,-0.334355825635918,-0.63679919580136,0.0837529009031199,0.256574584197898,-0.0317144197661636
"PDAC_52T",0.362258854826113,-0.637528302495879,-0.0115677185775655,-0.413836589639619,-0.155059270766402,-0.888991940751039,-0.113287031155254,0.0918174966002923,-0.0603713677306293,-0.529405748316714,1.71161261067364
"PDAC_53T",1.24922349236721,-0.558742123278235,-0.174196616177541,-0.286487805899389,0.360173002585124,-0.193382075355894,-0.290121624747077,0.570246529562823,-0.42046988386559,-0.491642439579625,2.76933903678903
"PDAC_54T",-0.321491489529984,-0.28651109946442,-0.130800336468768,-0.12645659093379,0.715071339252478,-0.734024228263343,-0.458557966334458,1.24906510410482,0.86996563718168,-0.0426786579275671,-0.129921804509885
"PDAC_55T",-0.10653624898042,0.177001215660688,0.0150096326197386,0.0234318005480732,1.6452855663748,-0.40528329689349,-0.826752325003809,1.31306845430265,-0.0908863932043598,-0.799791038874272,0.0373454346643207
